year,month,origin,blend,roast_level,type,sales,unit_price
2015,12,Rwanda,Single,light,Seasonal,25.0,1.576
2015,12,Sumatra,Single,dark,Seasonal,192.25,10.233222222222224
2016,1,Brazil,Single,dark,Seasonal,1635.0,8.030014035087722
2016,1,Colombia,Single,dark,Evergreen,450.25,11.735207729468595
2016,1,Colombia,Single,medium,Seasonal,200.0,9.1
2016,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2023.5,9.70848888888889
2016,1,Ethiopia,Single,medium,Evergreen,330.75,9.661062801932367
2016,1,Ethiopia,Single,medium,Seasonal,181.75,10.180015873015872
2016,1,Kenya,Single,medium,Seasonal,234.75,10.530714285714286
2016,1,"Kenya, Colombia",Blend,medium,Evergreen,713.5,9.074553191489363
2016,1,Mexico,Single,medium,Seasonal,384.5,9.591035714285713
2016,1,Panama,Single,light,Seasonal,8.5,18.5
2016,1,Papua New Guinea,Single,light,Seasonal,24.75,10.017777777777779
2016,1,Rwanda,Single,light,Seasonal,5.0,3.6
2016,1,Sumatra,Single,dark,Seasonal,168.5,10.29096
2016,2,Brazil,Single,dark,Seasonal,1795.0,8.258207282913169
2016,2,Colombia,Single,dark,Evergreen,677.25,10.764266666666664
2016,2,Colombia,Single,medium,Seasonal,175.0,9.1
2016,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2381.75,12.950843822843826
2016,2,Ethiopia,Single,medium,Evergreen,436.0,8.971313131313131
2016,2,Ethiopia,Single,medium,Seasonal,9.0,11.426666666666664
2016,2,Kenya,Single,medium,Seasonal,304.5,9.368
2016,2,"Kenya, Colombia",Blend,medium,Evergreen,641.75,9.003390476190477
2016,2,Mexico,Single,medium,Seasonal,265.25,10.480912280701753
2016,2,Panama,Single,light,Seasonal,5.0,5.2
2016,2,Papua New Guinea,Single,light,Seasonal,154.75,10.42835294117647
2016,2,Rwanda,Single,light,Seasonal,179.5,7.1144086021505375
2016,2,Sumatra,Single,dark,Seasonal,177.0,8.629351851851853
2016,3,Brazil,Single,dark,Seasonal,2495.0,8.44895131086142
2016,3,Colombia,Single,dark,Evergreen,560.75,11.015848888888888
2016,3,Colombia,Single,light,Seasonal,24.0,1.2121212121212122
2016,3,Colombia,Single,medium,Seasonal,210.0,9.1
2016,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2666.75,9.608236559139787
2016,3,Ethiopia,Single,medium,Evergreen,471.0,10.182524999999998
2016,3,Kenya,Single,medium,Seasonal,451.5,8.307692307692308
2016,3,"Kenya, Colombia",Blend,medium,Evergreen,584.5,9.532851851851852
2016,3,Mexico,Single,medium,Seasonal,-2.25,11.506666666666668
2016,3,Panama,Single,light,Seasonal,4.0,0.0
2016,3,Papua New Guinea,Single,light,Seasonal,54.5,10.604666666666667
2016,3,Rwanda,Single,light,Seasonal,471.75,10.057780701754385
2016,3,Sumatra,Single,dark,Seasonal,415.75,10.334844444444444
2016,4,Brazil,Single,dark,Seasonal,1670.5,8.423619686800894
2016,4,Colombia,Single,dark,Evergreen,497.75,10.350249084249079
2016,4,Colombia,Single,light,Seasonal,15.75,1.0036363636363637
2016,4,Colombia,Single,medium,Seasonal,175.0,9.1
2016,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2964.75,11.377987179487182
2016,4,Ethiopia,Single,medium,Evergreen,573.0,10.019492753623185
2016,4,Ethiopia,Single,medium,Seasonal,21.0,0.0
2016,4,Kenya,Single,medium,Seasonal,370.0,9.0
2016,4,"Kenya, Colombia",Blend,medium,Evergreen,446.5,9.591355555555557
2016,4,Panama,Single,light,Seasonal,3.0,0.0
2016,4,Rwanda,Single,light,Seasonal,816.5,9.09864197530864
2016,4,Sumatra,Single,dark,Seasonal,165.0,9.0
2016,5,Brazil,Single,dark,Seasonal,1644.5,8.638359848484843
2016,5,Colombia,Single,dark,Evergreen,766.5,10.457567901234562
2016,5,Colombia,Single,light,Seasonal,11.25,4.252
2016,5,Colombia,Single,medium,Seasonal,265.0,9.1
2016,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3379.0,10.832190476190474
2016,5,Ethiopia,Single,medium,Evergreen,430.0,9.272629629629629
2016,5,Ethiopia,Single,medium,Seasonal,106.25,7.340888888888889
2016,5,Kenya,Single,medium,Seasonal,290.0,9.0
2016,5,"Kenya, Colombia",Blend,medium,Evergreen,513.75,7.949059829059829
2016,5,Panama,Single,light,Seasonal,3.5,33.0
2016,5,Rwanda,Single,light,Seasonal,1046.25,9.171573333333333
2016,6,Brazil,Single,dark,Seasonal,2526.0,8.757241379310338
2016,6,Colombia,Single,dark,Evergreen,949.25,10.829054545454538
2016,6,Colombia,Single,light,Seasonal,11.75,2.2897777777777777
2016,6,Colombia,Single,medium,Seasonal,100.0,9.1
2016,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3519.0,10.54631560283688
2016,6,Ethiopia,Single,medium,Evergreen,387.75,9.716954732510287
2016,6,Ethiopia,Single,medium,Seasonal,349.75,9.467808080808082
2016,6,Guatemala,Single,medium,Seasonal,50.75,4.187619047619048
2016,6,Kenya,Single,medium,Seasonal,341.0,8.4
2016,6,"Kenya, Colombia",Blend,medium,Evergreen,691.0,9.582
2016,6,Nicaragua,Single,medium,Seasonal,165.75,8.978699186991872
2016,6,Panama,Single,light,Seasonal,0.5,0.0
2016,6,Rwanda,Single,light,Seasonal,730.0,9.0
2016,7,Brazil,Single,dark,Seasonal,2116.0,8.409617117117119
2016,7,Colombia,Single,dark,Evergreen,688.25,10.395783549783546
2016,7,Colombia,Single,light,Seasonal,10.25,3.379142857142857
2016,7,Colombia,Single,medium,Seasonal,65.0,9.1
2016,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2866.75,10.074581300813007
2016,7,Ethiopia,Single,medium,Evergreen,277.75,9.539425287356323
2016,7,Ethiopia,Single,medium,Seasonal,259.75,8.592515151515151
2016,7,Guatemala,Single,medium,Seasonal,333.25,9.748978723404255
2016,7,Kenya,Single,medium,Seasonal,283.75,9.428
2016,7,"Kenya, Colombia",Blend,medium,Evergreen,459.75,8.042161616161614
2016,7,Mexico,Single,medium,Seasonal,-1.5,10.693333333333333
2016,7,Nicaragua,Single,medium,Seasonal,134.0,10.562988505747128
2016,8,Brazil,Single,dark,Seasonal,2003.75,8.713953878406702
2016,8,Colombia,Single,dark,Evergreen,556.0,10.081113924050628
2016,8,Colombia,Single,light,Seasonal,5.75,5.527
2016,8,Colombia,Single,medium,Seasonal,165.0,9.1
2016,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3092.5,9.101766848816023
2016,8,Ethiopia,Single,medium,Evergreen,337.5,9.107373737373734
2016,8,Ethiopia,Single,medium,Seasonal,260.25,8.364412121212121
2016,8,Guatemala,Single,medium,Seasonal,598.25,7.2753086419753075
2016,8,Kenya,Single,medium,Seasonal,391.5,8.484561403508772
2016,8,"Kenya, Colombia",Blend,medium,Evergreen,368.75,8.899843137254905
2016,8,Mexico,Single,medium,Seasonal,11.5,3.2355555555555555
2016,8,Myanmar,Single,medium,Seasonal,3.75,0.26666666666666666
2016,8,Nicaragua,Single,medium,Seasonal,353.25,10.106458333333338
2016,9,Brazil,Single,dark,Seasonal,2247.25,8.079926470588235
2016,9,Colombia,Single,dark,Evergreen,645.0,10.167514285714281
2016,9,Colombia,Single,light,Seasonal,6.0,11.506666666666668
2016,9,Colombia,Single,medium,Seasonal,130.0,9.1
2016,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3487.25,10.112906542056072
2016,9,Ethiopia,Single,medium,Evergreen,418.25,9.452936507936506
2016,9,Ethiopia,Single,medium,Seasonal,234.25,9.355120000000001
2016,9,Guatemala,Single,medium,Seasonal,616.5,9.723151515151512
2016,9,Kenya,Single,medium,Seasonal,396.0,10.32145299145299
2016,9,"Kenya, Colombia",Blend,medium,Evergreen,377.0,8.163372549019607
2016,9,Mexico,Single,medium,Seasonal,221.0,8.221574074074075
2016,9,Myanmar,Single,medium,Seasonal,16.5,6.743030303030303
2016,9,Nicaragua,Single,medium,Seasonal,396.25,10.55177777777778
2016,9,Panama,Single,light,Seasonal,1.0,21.0
2016,10,Brazil,Single,dark,Seasonal,2279.25,8.566210526315787
2016,10,Colombia,Single,dark,Evergreen,583.75,10.612118721461183
2016,10,Colombia,Single,medium,Seasonal,179.0,9.227878787878787
2016,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3042.25,9.520397003745314
2016,10,Ethiopia,Single,medium,Evergreen,476.0,9.439561904761902
2016,10,Ethiopia,Single,medium,Seasonal,269.0,9.98875968992248
2016,10,Guatemala,Single,medium,Seasonal,601.5,8.932325203252033
2016,10,Haiti,Single,dark,Seasonal,0.75,0.0
2016,10,Kenya,Single,medium,Seasonal,347.5,9.623174603174599
2016,10,"Kenya, Colombia",Blend,medium,Evergreen,312.5,8.580809523809522
2016,10,Mexico,Single,medium,Seasonal,137.75,10.134074074074075
2016,10,Myanmar,Single,medium,Seasonal,2.25,8.444444444444445
2016,10,Nicaragua,Single,medium,Seasonal,183.25,10.281309523809522
2016,10,Panama,Single,light,Seasonal,2.5,0.0
2016,11,Brazil,Single,dark,Seasonal,2299.75,8.410864000000004
2016,11,Colombia,Single,dark,Evergreen,631.25,9.757666666666664
2016,11,Colombia,Single,medium,Seasonal,240.0,9.099999999999998
2016,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3934.0,10.566705128205125
2016,11,Ethiopia,Single,medium,Evergreen,587.0,9.951162162162158
2016,11,Ethiopia,Single,medium,Seasonal,339.0,10.678830409356726
2016,11,Guatemala,Single,medium,Seasonal,798.0,9.795182795698928
2016,11,Haiti,Single,dark,Seasonal,20.25,3.030666666666667
2016,11,Kenya,Single,medium,Seasonal,241.75,10.930888888888887
2016,11,"Kenya, Colombia",Blend,medium,Evergreen,226.5,8.833266666666669
2016,11,Mexico,Single,medium,Seasonal,225.25,10.98929292929293
2016,11,Myanmar,Single,medium,Seasonal,13.0,11.003333333333334
2016,11,Nicaragua,Single,medium,Seasonal,151.25,9.512749999999997
2016,11,Panama,Single,light,Seasonal,1.0,84.0
2016,11,Papua New Guinea,Single,light,Seasonal,25.0,7.535333333333334
2016,12,Brazil,Single,dark,Seasonal,1898.5,8.015058201058203
2016,12,Colombia,Single,dark,Evergreen,884.5,10.219082568807336
2016,12,Colombia,Single,medium,Seasonal,251.0,7.817777777777778
