year,month,origin,blend,roast_level,type,sales,unit_price
2017,1,Brazil,Single,dark,Seasonal,399.5,0.0
2017,1,Colombia,Single,dark,Evergreen,90.75,0.0
2017,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,755.75,0.1023948220064725
2017,1,Ethiopia,Single,medium,Evergreen,501.75,0.0
2017,1,Guatemala,Single,medium,Seasonal,3.75,0.0
2017,1,Kenya,Single,medium,Seasonal,1375.5,0.007751937984496124
2017,1,"Kenya, Colombia",Blend,medium,Evergreen,3.0,0.0
2017,1,Mexico,Single,medium,Seasonal,514.5,0.013333333333333332
2017,1,Panama,Single,light,Seasonal,117.5,0.0
2017,1,Papua New Guinea,Single,light,Seasonal,2925.25,0.0
2017,1,Rwanda,Single,light,Seasonal,169.5,0.0
2017,1,Sumatra,Single,dark,Seasonal,209.5,0.0
2017,2,Brazil,Single,dark,Seasonal,162.0,0.0
2017,2,Colombia,Single,dark,Evergreen,411.0,0.0
2017,2,Colombia,Single,light,Seasonal,9.0,0.0
2017,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,481.5,0.0
2017,2,Ethiopia,Single,medium,Evergreen,595.5,0.0
2017,2,Kenya,Single,medium,Seasonal,443.25,0.0
2017,2,"Kenya, Colombia",Blend,medium,Evergreen,3.75,0.0
2017,2,Mexico,Single,medium,Seasonal,275.25,0.0
2017,2,Panama,Single,light,Seasonal,169.0,0.0
2017,2,Papua New Guinea,Single,light,Seasonal,2844.75,0.0
2017,2,Rwanda,Single,light,Seasonal,547.0,0.0
2017,2,Sumatra,Single,dark,Seasonal,1602.0,0.0
2017,3,Brazil,Single,dark,Seasonal,591.0,0.0025974025974025974
2017,3,Colombia,Single,dark,Evergreen,71.25,0.0
2017,3,Colombia,Single,medium,Seasonal,215.25,0.0
2017,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,548.5,0.00202020202020202
2017,3,Ethiopia,Single,medium,Evergreen,564.0,0.0
2017,3,Guatemala,Single,medium,Seasonal,1.5,0.0
2017,3,Kenya,Single,medium,Seasonal,327.75,0.0
2017,3,"Kenya, Colombia",Blend,medium,Evergreen,16.0,0.028571428571428574
2017,3,Mexico,Single,medium,Seasonal,27.0,0.0
2017,3,Panama,Single,light,Seasonal,87.5,0.0
2017,3,Papua New Guinea,Single,light,Seasonal,298.5,0.0
2017,3,Rwanda,Single,light,Seasonal,3575.0,0.007168458781362007
2017,3,Sumatra,Single,dark,Seasonal,1127.25,0.0
2017,4,Brazil,Single,dark,Seasonal,1574.0,0.0
2017,4,Colombia,Single,dark,Evergreen,15.75,0.0
2017,4,Colombia,Single,medium,Seasonal,395.25,0.0
2017,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,487.5,0.0
2017,4,Ecuador,Single,light,Seasonal,9.75,0.0
2017,4,Ethiopia,Single,medium,Evergreen,566.25,0.0
2017,4,"Kenya, Colombia",Blend,medium,Evergreen,3.0,0.0
2017,4,Panama,Single,light,Seasonal,110.0,0.0
2017,4,Rwanda,Single,light,Seasonal,2813.5,0.0
2017,4,Sumatra,Single,dark,Seasonal,12.0,0.0
2017,5,Brazil,Single,dark,Seasonal,1772.0,0.0
2017,5,Colombia,Single,dark,Evergreen,18.0,0.0
2017,5,Colombia,Single,medium,Seasonal,572.25,0.0
2017,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,722.25,0.0
2017,5,Ecuador,Single,light,Seasonal,153.75,0.0
2017,5,Ethiopia,Single,medium,Evergreen,780.0,0.07246376811594203
2017,5,Ethiopia,Single,medium,Seasonal,952.25,0.0
2017,5,Guatemala,Single,medium,Seasonal,18.0,0.0
2017,5,"Kenya, Colombia",Blend,medium,Evergreen,3.0,0.0
2017,5,Panama,Single,light,Seasonal,128.0,0.0
2017,5,Rwanda,Single,light,Seasonal,2813.5,0.0
2017,5,Sumatra,Single,dark,Seasonal,0.75,0.0
2017,6,Brazil,Single,dark,Seasonal,1027.25,0.5738675213675215
2017,6,Colombia,Single,dark,Evergreen,13.5,0.0
2017,6,Colombia,Single,medium,Seasonal,212.25,0.0
2017,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,450.0,0.0
2017,6,Ecuador,Single,light,Seasonal,308.25,0.0
2017,6,Ethiopia,Single,medium,Evergreen,485.25,0.0
2017,6,Ethiopia,Single,medium,Seasonal,3058.25,0.0
2017,6,Guatemala,Single,medium,Seasonal,171.0,0.0
2017,6,Kenya,Single,medium,Seasonal,179.25,0.6120634920634921
2017,6,Panama,Single,light,Seasonal,67.5,0.0
2017,6,Rwanda,Single,light,Seasonal,10.75,0.0
2017,7,Brazil,Single,dark,Seasonal,358.5,0.5588014981273408
2017,7,Colombia,Single,dark,Evergreen,7.5,0.0
2017,7,Colombia,Single,dark,Seasonal,11.25,0.0
